,entry_discipline,entry_category,entry_rank,athlete_firstname,athlete_lastname,athlete_country,athlete_speed_personal_best_score,event_name,event_location,event_year,event_month,event_day,athlete_age_at_event,athlete_max_rank,athlete_country_total_gold,athlete_country_total_silver,athlete_country_total_bronze,athlete_country_population,athlete_fullname,athlete_country_gold_per_capita,athlete_country_silver_per_capita,athlete_country_bronze_per_capita,athlete_golds_per_discipline
2363,speed,men,5,Tobias,PLANGGER,AUT,5.59,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,20,1,25,35,33,9178482,"PLANGGER, Tobias",27.237619466922744,38.13266725369184,35.95365769633802,1
2364,speed,men,6,John,BROSLER,USA,5.15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,24,1,39,29,28,340110988,"BROSLER, John",1.146684505235685,0.852662837226535,0.82326067042562,1
2365,speed,men,7,Rishat,KHAIBULLIN,KAZ,5.01,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,25,2,2,8,2,20592571,"KHAIBULLIN, Rishat",0.9712240399705312,3.8848961598821248,0.9712240399705312,0
2366,speed,men,8,Vladislav,DEULIN,RUS,5.38,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,27,1,52,64,66,143533851,"DEULIN, Vladislav",3.622838768535514,4.458878484351402,4.598218436987383,5
2367,speed,men,9,Reza,ALIPOUR SHENAZANDIFARD,IRN,4.84,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,27,1,11,3,8,91567738,"ALIPOUR SHENAZANDIFARD, Reza",1.2012964653555163,0.3276263087333226,0.8736701566221937,10
2368,speed,men,10,Marcin,DZIENSKI,POL,5.27,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,28,1,31,26,27,36554707,"DZIENSKI, Marcin",8.480440015563522,7.1126271098274705,7.386189690974681,7
2369,lead,men,2,Luka,POTOCAR,SVN,8.53,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,19,1,67,40,33,2126324,"POTOCAR, Luka",315.0977931867392,188.1180854846204,155.19742052481183,1
2370,lead,men,4,Martin,STRANIK,CZE,9.87,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,31,2,19,22,9,10882164,"STRANIK, Martin",17.45976259868901,20.216567219534642,8.2704138625369,0
2371,lead,men,6,Sebastian,HALENKE,DEU,999.99,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,26,1,16,17,21,83510950,"HALENKE, Sebastian",1.9159164157514674,2.035661191735934,2.514640295673801,1
2372,lead,men,8,Stefano,GHISOLFI,ITA,7.34,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021,9,15,28,1,24,21,23,58986023,"GHISOLFI, Stefano",4.068760492633992,3.5601654310547435,3.8992288054409094,6
2373,lead,women,1,Eliska,ADAMOVSKA,CZE,13.73,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,20,1,19,22,9,10882164,"ADAMOVSKA, Eliska",17.45976259868901,20.216567219534642,8.2704138625369,1
2374,lead,women,2,Natalia,GROSSMAN,USA,9.15,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,20,1,39,29,28,340110988,"GROSSMAN, Natalia",1.146684505235685,0.852662837226535,0.82326067042562,0
2375,lead,women,3,Vita,LUKAN,SVN,13.22,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,20,1,67,40,33,2126324,"LUKAN, Vita",315.0977931867392,188.1180854846204,155.19742052481183,1
2376,lead,women,4,Ashima,SHIRAISHI,USA,11.98,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,20,2,39,29,28,340110988,"SHIRAISHI, Ashima",1.146684505235685,0.852662837226535,0.82326067042562,0
